iter	Passed	Remaining
0	162	161929
1	163	81657
2	165	55058
3	168	41956
4	172	34289
5	174	28932
6	175	24944
7	176	21933
8	178	19635
9	180	17862
10	182	16404
11	183	15085
12	184	13976
13	186	13126
14	187	12315
15	188	11584
16	189	10937
17	190	10370
18	191	9888
19	193	9459
20	193	9039
21	194	8657
22	195	8309
23	196	7983
24	197	7713
25	199	7478
26	200	7221
27	201	6984
28	202	6780
29	203	6580
30	206	6447
31	207	6272
32	208	6107
33	209	5959
34	211	5837
35	213	5718
36	214	5581
37	215	5449
38	216	5323
39	218	5250
40	220	5148
41	221	5042
42	222	4943
43	226	4920
44	227	4834
45	228	4742
46	229	4651
47	230	4570
48	233	4523
49	234	4457
50	235	4380
51	236	4305
52	237	4251
53	239	4198
54	240	4135
55	241	4068
56	242	4004
57	242	3943
58	243	3885
59	244	3835
60	245	3781
61	246	3729
62	247	3675
63	247	3622
64	248	3572
65	249	3523
66	249	3476
67	250	3432
68	251	3397
69	253	3363
70	254	3324
71	254	3284
72	255	3245
73	256	3205
74	256	3167
75	257	3130
76	258	3096
77	259	3068
78	260	3037
79	261	3003
80	261	2970
81	262	2938
82	262	2904
83	263	2874
84	264	2844
85	265	2818
86	266	2797
87	267	2774
88	268	2747
89	269	2720
90	269	2694
91	270	2668
92	271	2643
93	271	2618
94	272	2596
95	273	2579
96	275	2560
97	275	2538
98	276	2516
99	277	2494
100	277	2472
101	278	2451
102	279	2430
103	279	2411
104	282	2405
105	282	2386
106	283	2366
107	284	2347
108	284	2328
109	285	2310
110	286	2292
111	286	2275
112	288	2263
113	289	2250
114	290	2234
115	291	2217
116	291	2199
117	292	2183
118	292	2166
119	293	2150
120	293	2135
121	294	2120
122	296	2111
123	297	2100
124	298	2086
125	298	2073
126	299	2058
127	300	2044
128	300	2031
129	301	2018
130	302	2006
131	303	1998
132	304	1985
133	305	1973
134	306	1961
135	306	1948
136	307	1936
137	308	1924
138	308	1913
139	310	1907
140	311	1897
141	311	1884
142	312	1873
143	313	1861
144	313	1850
145	314	1839
146	315	1829
147	316	1820
148	317	1814
149	318	1805
150	319	1795
151	319	1785
152	320	1774
153	321	1764
154	321	1755
155	323	1747
156	324	1743
157	325	1736
158	326	1727
159	327	1718
160	327	1707
161	328	1698
162	329	1690
163	329	1681
164	331	1676
165	332	1671
166	333	1663
167	334	1655
168	335	1647
169	335	1639
170	336	1631
171	337	1625
172	339	1621
173	340	1614
174	340	1606
175	341	1598
176	342	1591
177	342	1583
178	343	1575
179	344	1569
180	346	1567
181	347	1562
182	348	1554
183	348	1547
184	349	1540
185	350	1533
186	351	1526
187	352	1521
188	353	1517
189	354	1511
190	355	1504
191	355	1497
192	356	1491
193	357	1484
194	357	1477
195	358	1471
196	359	1464
197	360	1462
198	362	1457
199	362	1451
200	363	1444
201	364	1438
202	365	1433
203	365	1427
204	366	1421
205	368	1420
206	369	1415
207	370	1410
208	371	1404
209	371	1398
210	372	1393
211	373	1387
212	374	1384
213	376	1382
214	377	1377
215	378	1372
216	378	1367
217	379	1362
218	380	1357
219	381	1354
220	383	1351
221	384	1346
222	384	1340
223	385	1335
224	386	1330
225	387	1325
226	387	1320
227	390	1321
228	392	1320
229	393	1315
230	393	1310
231	394	1305
232	398	1310
233	399	1307
234	400	1304
235	401	1300
236	404	1303
237	405	1299
238	406	1294
239	407	1290
240	408	1285
241	409	1281
242	410	1279
243	412	1277
244	413	1273
245	413	1268
246	414	1264
247	415	1259
248	416	1257
249	418	1256
250	420	1255
251	421	1251
252	422	1248
253	425	1249
254	426	1245
255	426	1240
256	427	1237
257	428	1232
258	429	1228
259	431	1228
260	433	1226
261	433	1222
262	434	1218
263	435	1214
264	437	1212
265	439	1211
266	440	1208
267	441	1205
268	442	1202
269	443	1199
270	448	1206
271	451	1209
272	454	1211
273	455	1207
274	457	1205
275	462	1214
276	465	1214
277	468	1215
278	469	1213
279	470	1209
280	470	1205
281	471	1201
282	475	1205
283	477	1203
284	478	1199
285	478	1195
286	480	1192
287	483	1195
288	486	1196
289	487	1193
290	488	1190
291	490	1188
292	490	1184
293	491	1180
294	492	1177
295	493	1173
296	494	1169
297	495	1166
298	496	1163
299	497	1161
300	498	1157
301	499	1154
302	500	1150
303	501	1147
304	503	1146
305	504	1144
306	505	1141
307	506	1137
308	507	1134
309	507	1130
310	508	1127
311	510	1125
312	511	1122
313	512	1119
314	513	1115
315	513	1112
316	514	1109
317	515	1105
318	516	1102
319	517	1100
320	519	1097
321	519	1094
322	520	1091
323	521	1088
324	522	1085
325	523	1081
326	525	1082
327	530	1086
328	533	1087
329	534	1085
330	535	1082
331	536	1078
332	537	1076
333	540	1077
334	541	1075
335	543	1073
336	544	1071
337	545	1069
338	546	1065
339	547	1062
340	547	1058
341	548	1055
342	551	1056
343	553	1056
344	555	1054
345	556	1051
346	557	1050
347	560	1050
348	561	1048
349	562	1045
350	564	1043
351	565	1041
352	566	1038
353	567	1035
354	568	1032
355	568	1028
356	569	1025
357	570	1022
358	572	1021
359	573	1018
360	574	1016
361	574	1012
362	575	1009
363	576	1007
364	580	1009
365	581	1007
366	582	1004
367	583	1001
368	584	999
369	586	998
370	589	998
371	589	995
372	590	992
373	591	989
374	592	987
375	594	985
376	594	983
377	595	980
378	596	977
379	597	974
380	598	971
381	599	970
382	601	968
383	602	966
384	603	963
385	603	960
386	604	957
387	605	955
388	607	953
389	609	952
390	610	950
391	611	948
392	611	945
393	612	942
394	614	941
395	616	940
396	617	938
397	618	935
398	619	933
399	621	931
400	623	931
401	624	928
402	624	925
403	625	923
404	626	920
405	629	920
406	630	919
407	631	916
408	632	913
409	633	911
410	636	911
411	637	909
412	638	907
413	639	904
414	642	905
415	644	905
416	646	903
417	647	901
418	649	900
419	649	897
420	650	894
421	651	891
422	651	889
423	652	886
424	653	884
425	655	882
426	656	880
427	657	878
428	657	875
429	658	873
430	659	870
431	660	867
432	661	866
433	663	864
434	663	862
435	664	859
436	665	857
437	666	854
438	666	852
439	667	850
440	669	848
441	671	847
442	672	845
443	672	842
444	673	839
445	674	837
446	675	836
447	677	834
448	678	832
449	678	829
450	679	827
451	680	824
452	680	822
453	681	819
454	683	818
455	684	816
456	685	814
457	685	811
458	686	809
459	687	807
460	688	804
461	689	802
462	690	801
463	691	799
464	692	796
465	693	794
466	694	792
467	694	789
468	695	787
469	696	785
470	698	784
471	699	782
472	700	780
473	700	777
474	701	775
475	702	772
476	702	770
477	703	768
478	705	767
479	706	765
480	706	762
481	707	760
482	708	758
483	708	755
484	709	753
485	710	751
486	711	749
487	713	748
488	714	747
489	715	745
490	716	742
491	717	740
492	718	738
493	719	737
494	720	735
495	721	733
496	722	731
497	723	728
498	723	726
499	724	724
500	725	722
501	726	721
502	728	719
503	729	717
504	729	715
505	730	713
506	731	711
507	731	708
508	732	707
509	734	705
510	735	703
511	736	701
512	737	699
513	737	697
514	738	695
515	739	693
516	740	691
517	741	690
518	742	688
519	743	686
520	743	684
521	744	681
522	745	679
523	746	677
524	747	676
525	749	675
526	750	673
527	751	671
528	751	669
529	752	667
530	753	665
531	754	663
532	756	662
533	758	661
534	758	659
535	759	657
536	760	655
537	761	653
538	762	652
539	763	650
540	764	648
541	764	646
542	765	644
543	766	642
544	767	640
545	767	638
546	770	637
547	773	637
548	774	636
549	775	634
550	778	634
551	780	633
552	781	631
553	781	629
554	783	628
555	784	626
556	785	624
557	786	622
558	787	620
559	787	619
560	788	616
561	789	615
562	791	614
563	792	612
564	793	610
565	793	608
566	794	606
567	795	604
568	796	603
569	797	601
570	801	601
571	804	601
572	809	603
573	810	601
574	814	601
575	817	601
576	819	600
577	821	599
578	822	597
579	823	595
580	823	594
581	826	593
582	827	591
583	828	589
584	828	588
585	829	586
586	830	584
587	831	582
588	833	581
589	836	581
590	838	580
591	839	578
592	842	578
593	851	581
594	851	579
595	852	578
596	853	576
597	855	575
598	856	573
599	857	571
600	858	570
601	859	568
602	860	566
603	863	566
604	866	565
605	867	563
606	869	562
607	870	561
608	872	560
609	873	558
610	874	556
611	875	555
612	877	553
613	877	551
614	878	550
615	879	548
616	879	546
617	880	544
618	881	542
619	884	542
620	885	540
621	886	538
622	887	536
623	887	535
624	889	533
625	890	532
626	891	530
627	892	528
628	893	526
629	893	524
630	894	523
631	895	521
632	896	520
633	898	518
634	899	516
635	899	515
636	900	513
637	901	511
638	901	509
639	903	508
640	904	506
641	905	504
642	905	503
643	906	501
644	907	499
645	908	497
646	908	495
647	909	494
648	911	492
649	912	491
650	913	489
651	913	487
652	914	485
653	915	484
654	915	482
655	916	480
656	917	479
657	919	477
658	919	476
659	920	474
660	921	472
661	922	470
662	922	469
663	923	467
664	924	465
665	928	465
666	929	463
667	929	462
668	930	460
669	931	458
670	931	456
671	933	455
672	934	454
673	935	452
674	936	450
675	936	449
676	937	447
677	938	445
678	941	444
679	942	443
680	942	441
681	943	439
682	944	438
683	945	436
684	946	435
685	947	433
686	949	432
687	950	431
688	951	429
689	952	427
690	955	427
691	957	426
692	957	424
693	958	422
694	959	421
695	960	419
696	962	418
697	963	416
698	964	415
699	965	413
700	965	411
701	966	410
702	968	409
703	970	407
704	971	406
705	972	404
706	972	403
707	973	401
708	975	400
709	977	399
710	978	397
711	979	396
712	980	394
713	986	395
714	988	394
715	993	393
716	993	392
717	995	390
718	997	389
719	999	388
720	999	386
721	1002	385
722	1004	385
723	1005	383
724	1006	381
725	1007	380
726	1009	379
727	1012	378
728	1013	376
729	1013	375
730	1014	373
731	1018	372
732	1019	371
733	1020	369
734	1023	368
735	1025	367
736	1026	366
737	1027	364
738	1029	363
739	1033	362
740	1034	361
741	1035	359
742	1036	358
743	1038	357
744	1040	356
745	1041	354
746	1044	353
747	1045	352
748	1047	351
749	1049	349
750	1052	348
751	1054	347
752	1055	346
753	1068	348
754	1071	347
755	1072	346
756	1075	345
757	1077	343
758	1077	342
759	1079	340
760	1081	339
761	1083	338
762	1084	336
763	1086	335
764	1088	334
765	1089	332
766	1090	331
767	1092	329
768	1094	328
769	1096	327
770	1097	325
771	1098	324
772	1099	322
773	1101	321
774	1103	320
775	1103	318
776	1104	317
777	1105	315
778	1106	313
779	1108	312
780	1109	311
781	1110	309
782	1111	307
783	1111	306
784	1112	304
785	1114	303
786	1116	302
787	1117	300
788	1117	298
789	1118	297
790	1119	295
791	1120	294
792	1121	292
793	1123	291
794	1124	289
795	1124	288
796	1125	286
797	1126	285
798	1126	283
799	1127	281
800	1128	280
801	1130	279
802	1131	277
803	1131	275
804	1132	274
805	1133	272
806	1133	271
807	1134	269
808	1136	268
809	1137	266
810	1138	265
811	1139	263
812	1140	262
813	1140	260
814	1141	259
815	1143	257
816	1144	256
817	1145	254
818	1146	253
819	1146	251
820	1147	250
821	1148	248
822	1149	247
823	1151	245
824	1152	244
825	1153	242
826	1153	241
827	1154	239
828	1155	238
829	1156	236
830	1158	235
831	1159	234
832	1160	232
833	1161	231
834	1162	229
835	1163	228
836	1165	227
837	1166	225
838	1167	224
839	1168	222
840	1168	220
841	1169	219
842	1171	218
843	1172	216
844	1173	215
845	1174	213
846	1175	212
847	1175	210
848	1176	209
849	1177	207
850	1178	206
851	1180	204
852	1180	203
853	1181	201
854	1182	200
855	1182	198
856	1183	197
857	1185	196
858	1186	194
859	1188	193
860	1188	191
861	1189	190
862	1190	188
863	1191	187
864	1193	186
865	1194	184
866	1195	183
867	1195	181
868	1196	180
869	1197	178
870	1197	177
871	1199	176
872	1201	174
873	1202	173
874	1203	171
875	1203	170
876	1204	168
877	1205	167
878	1207	166
879	1208	164
880	1209	163
881	1210	161
882	1210	160
883	1211	158
884	1212	157
885	1215	156
886	1216	155
887	1217	153
888	1218	152
889	1218	150
890	1219	149
891	1222	147
892	1223	146
893	1224	145
894	1224	143
895	1225	142
896	1226	140
897	1228	139
898	1229	138
899	1230	136
900	1231	135
901	1232	133
902	1232	132
903	1233	130
904	1235	129
905	1237	128
906	1238	126
907	1238	125
908	1240	124
909	1242	122
910	1244	121
911	1244	120
912	1245	118
913	1246	117
914	1247	115
915	1248	114
916	1250	113
917	1251	111
918	1251	110
919	1252	108
920	1253	107
921	1255	106
922	1257	104
923	1257	103
924	1258	102
925	1259	100
926	1260	99
927	1261	97
928	1262	96
929	1264	95
930	1265	93
931	1266	92
932	1266	90
933	1268	89
934	1270	88
935	1272	87
936	1273	85
937	1274	84
938	1276	82
939	1278	81
940	1279	80
941	1280	78
942	1282	77
943	1285	76
944	1287	74
945	1288	73
946	1291	72
947	1293	70
948	1294	69
949	1295	68
950	1296	66
951	1298	65
952	1299	64
953	1300	62
954	1301	61
955	1301	59
956	1302	58
957	1304	57
958	1306	55
959	1307	54
960	1307	53
961	1308	51
962	1309	50
963	1310	48
964	1311	47
965	1313	46
966	1314	44
967	1314	43
968	1315	42
969	1316	40
970	1318	39
